,clienteId,cancelouPlano,genero,cidadaoIdoso,temParceiro,temDependentes,mesesContrato,assinaturaTelefonica,multiplasLinhas,provedorInternet,segurancaOnline,backupOnline,protecaoDispositivo,suporteTecnico,streamingTV,streamingFilmes,tipoContrato,contaOnline,gastoDiario,formaPagamento,totalServicosMensalmente,totalGasto,validacaoTotalGasto,diferencaTotalGasto
0,0002-ORFBO,Não,Feminino,Não,Sim,Sim,9,Yes,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Um ano,Yes,2.0,Conta Enviada,65.6,593.3,590.4,2.8999999999999773
1,0003-MKNFE,Não,Masculino,Não,Não,Não,9,Yes,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,No,2.0,Conta Enviada,59.9,542.4,539.1,3.2999999999999545
2,0004-TLHLJ,Sim,Masculino,Não,Não,Não,4,Yes,Não,Fibra ótica,Não,Não,Sim,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,73.9,280.85,295.6,-14.75
3,0011-IGKFF,Sim,Masculino,Sim,Sim,Não,13,Yes,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Yes,3.0,Conta Eletrônica,98.0,1237.85,1274.0,-36.15000000000009
4,0013-EXCHZ,Sim,Feminino,Sim,Sim,Não,3,Yes,Não,Fibra ótica,Não,Não,Não,Sim,Sim,Não,Mensal,Yes,3.0,Conta Enviada,83.9,267.4,251.70000000000002,15.69999999999996
5,0013-MHZWF,Não,Feminino,Não,Não,Sim,9,Yes,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Yes,2.0,Cartão de Crédito (Automático),69.4,571.45,624.6,-53.14999999999998
6,0013-SMEOE,Não,Feminino,Sim,Sim,Não,71,Yes,Não,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,4.0,Transferência bancária (Automático),109.7,7904.25,7788.7,115.55000000000018
7,0014-BMAQU,Não,Masculino,Não,Sim,Não,63,Yes,Sim,Fibra ótica,Sim,Não,Não,Sim,Não,Não,Dois anos,Yes,3.0,Cartão de Crédito (Automático),84.65,5377.8,5332.950000000001,44.849999999999454
8,0015-UOCOJ,Não,Feminino,Sim,Não,Não,7,Yes,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,48.2,340.35,337.40000000000003,2.9499999999999886
9,0016-QLJIS,Não,Feminino,Não,Sim,Sim,65,Yes,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,3.0,Conta Enviada,90.45,5957.9,5879.25,78.64999999999964
10,0017-DINOC,Não,Masculino,Não,Não,Não,54,No,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Dois anos,No,2.0,Cartão de Crédito (Automático),45.2,2460.55,2440.8,19.75
11,0017-IUDMW,Não,Feminino,Não,Sim,Sim,72,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Yes,4.0,Cartão de Crédito (Automático),116.8,8456.75,8409.6,47.149999999999636
12,0018-NYROU,Não,Feminino,Não,Sim,Não,5,Yes,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Yes,2.0,Conta Eletrônica,68.95,351.5,344.75,6.75
13,0019-EFAEP,Não,Feminino,Não,Não,Não,72,Yes,Sim,Fibra ótica,Sim,Sim,Sim,Não,Sim,Não,Dois anos,Yes,3.0,Transferência bancária (Automático),101.3,7261.25,7293.599999999999,-32.349999999999454
14,0019-GFNTW,Não,Feminino,Não,Não,Não,56,No,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Dois anos,No,2.0,Transferência bancária (Automático),45.05,2560.1,2522.7999999999997,37.30000000000018
