cancelouPlano;genero;cidadaoIdoso;temParceiro;temDependentes;mesesContrato;assinaturaTelefonica;multiplasLinhas;segurancaOnline;backupOnline;protecaoDispositivo;suporteTecnico;streamingTV;streamingFilmes;contaOnline;gastoDiario;totalServicosMensalmente;validacaoTotalGasto;provedorInternet_DSL;provedorInternet_Fibra ótica;provedorInternet_Não;tipoContrato_Dois anos;tipoContrato_Mensal;tipoContrato_Um ano;formaPagamento_Cartão de Crédito (Automático);formaPagamento_Conta Eletrônica;formaPagamento_Conta Enviada;formaPagamento_Transferência bancária (Automático)
0.0;1.0;0.0;1.0;1.0;9.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;65.6;590.4;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;59.9;539.1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;73.9;295.6;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;1.0;1.0;0.0;13.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;98.0;1274.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;1.0;1.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;83.9;251.7;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;1.0;0.0;0.0;1.0;9.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;69.4;624.6;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;1.0;1.0;0.0;71.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;109.7;7788.7;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;0.0;63.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;84.65;5332.950000000001;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;1.0;0.0;0.0;7.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;48.2;337.40000000000003;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;65.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;90.45;5879.25;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;45.2;2440.8;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;72.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;116.8;8409.6;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;68.95;344.75;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;72.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;101.3;7293.599999999999;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;56.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;45.05;2522.8;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;71.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;3.0;95.75;6798.25;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;34.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;61.25;2082.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;72.1;72.1;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
1.0;0.0;1.0;0.0;0.0;45.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;62.7;2821.5;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;25.1;25.1;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;1.0;1.0;0.0;50.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.2;1260.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
1.0;1.0;0.0;1.0;0.0;13.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;94.1;1223.3;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;1.0;23.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;83.75;1926.25;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.85;59.55;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;1.0;0.0;1.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.35;81.4;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;30.5;30.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;55.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;103.7;5703.5;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;54.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.4;1101.6;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;26.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;19.6;509.6;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
0.0;1.0;0.0;1.0;1.0;69.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19.7;1359.3;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
;;;;;;;;;;;;;;;;;;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
